CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,ZipCode,Country,Age,Gender
1,Eva,Varma,sahnivedika@gmail.com,3884212199,"14, Gulati Circle",Nagpur,Maharashtra,40001,India,29,Male
2,Zaina,Koshy,indrajitdalal@gmail.com,7080247404,"H.No. 50, Dora Circle",Nagpur,Maharashtra,40001,India,51,Female
3,Mehul,Gour,vritikakeer@gmail.net,5619662759,"H.No. 773, Kar Chowk",Nagpur,Maharashtra,40001,India,44,Female
4,Rhea,Sachar,bvarughese@gmail.org,3303366998,"220
Jha Path",Nagpur,Maharashtra,40001,India,28,Female
5,Neelofar,Baral,maharajumang@gmail.org,3761430080,"62/57
Chauhan Chowk",Mumbai,Maharashtra,4065,India,48,Male
6,Jiya,Yohannan,cherianfaiyaz@gmail.com,126016369,"H.No. 97, Bajaj",Nashik,Maharashtra,45021,India,56,Male
7,Zoya,Tailor,riaan37@gmail.org,4120533704,"72/74
Krish Circle",Nashik,Maharashtra,45021,India,89,Male
8,Adah,Raja,aroraalia@gmail.net,7073101851,"90/58
Karnik Zila",Mumbai,Maharashtra,4065,India,39,Female
9,Jiya,Bera,vaibhavdora@gmail.org,1213665184,"39, Rajagopalan Ganj",Nashik,Maharashtra,45021,India,34,Male
10,Ritvik,Kaul,daliakimaya@gmail.org,5654094976,"11/97
Setty Road",Nagpur,Maharashtra,40001,India,53,Female
11,Ishita,Vyas,elatata@gmail.com,4854061509,"06/513, Raval",Nashik,Maharashtra,45021,India,85,Female
12,Vardaniya,Mahal,mandaahana@gmail.org,6558994162,"75/46
Anand Street",Nagpur,Maharashtra,40001,India,74,Male
13,Neelofar,Gour,ujayaraman@gmail.org,3845965781,"H.No. 302
Tak Zila",Mumbai,Maharashtra,4065,India,73,Female
14,Lavanya,Gopal,sonigokul@gmail.org,3564495753,"00
Shah Zila",Aurangabad,Maharashtra,40080,India,82,Female
15,Amira,Verma,jhanvi61@gmail.net,8880892310,"H.No. 31
Gole Zila",Nashik,Maharashtra,45021,India,26,Female
16,Sumer,Upadhyay,misha80@gmail.org,6784981695,"92/467, Sahni Ganj",Pune,Maharashtra,411021,India,27,Female
17,Taimur,Vaidya,parimander@gmail.net,9257710782,"H.No. 299
Ghosh Chowk",Pune,Maharashtra,411021,India,38,Male
18,Kismat,Chana,vritikaseth@gmail.com,3302433307,"11, Doshi Street",Mumbai,Maharashtra,40215,India,44,Male
19,Priyansh,Ravel,mgara@gmail.com,6337974572,"86, Butala Chowk",Pune,Maharashtra,411021,India,65,Female
20,Hridaan,Sheth,gokul96@gmail.com,6936465096,"H.No. 46, Yadav Nagar",Mumbai,Maharashtra,40215,India,75,Male
21,Krish,Sheth,grewalvidur@gmail.org,8308241915,"934, Solanki Road",Nashik,Maharashtra,45021,India,33,Male
22,Shlok,Mani,alal@gmail.com,2168655720,"60
Mann Road",Pune,Maharashtra,411021,India,80,Female
23,Nishith,Kar,tanya36@gmail.net,1811312556,"19/79, Korpal Road",Aurangabad,Maharashtra,40080,India,32,Female
24,Ehsaan,Bhat,bchokshi@gmail.com,4681939401,"H.No. 941
Raval Marg",Nashik,Maharashtra,45021,India,71,Female
25,Amani,Dayal,janiaayush@gmail.com,7485879845,"H.No. 13, Ganguly Circle",Mumbai,Maharashtra,40215,India,70,Male
26,Devansh,Varghese,rajanabram@gmail.com,2595479702,"H.No. 67
Sankaran Marg",Nashik,Maharashtra,45021,India,61,Female
27,Prerak,Kurian,cgrewal@gmail.org,6093203236,"H.No. 45
Khare Ganj",Aurangabad,Maharashtra,40080,India,34,Male
28,Anahi,Raman,dhanush41@gmail.org,6117298051,"45/66, Vig Circle",Mumbai,Maharashtra,45589,India,66,Female
29,Mahika,Apte,mahika55@gmail.org,9988773147,"H.No. 72, Bala Path",Aurangabad,Maharashtra,40080,India,86,Female
30,Jivin,Sami,edwinhansh@gmail.com,5392785178,"28/52
Uppal Zila",Aurangabad,Maharashtra,40080,India,24,Female
